;;;;;;;
Ocorrências de alagamento - 2007 a 2016 - SP;;;;;;;
;;;;;;;
DATA;LOCAL;REFERENCIA;SENTIDO;INICIO;FIM;SITUAÇÃO;SUB
03/03/16; ATALIBA LEONEL, AV. GAL.;ALTURA DO N. 656;C/B;30/12/1899 19:22:00;30/12/1899 22:17:00;transitável;ST
10/03/16; ATALIBA LEONEL, AV. GAL.;ALTURA DO N. 656;C/B;30/12/1899 19:44:00;30/12/1899 22:45:00;transitável;ST
02/03/16; ATALIBA LEONEL, AV. GAL.;JOVITA, R.;C/B;30/12/1899 19:50:00;30/12/1899 22:46:00;transitável;ST
21/02/08;ABAUNA, R.;EUCLIDES PINHEIRO, TRAV.;IMIG/ANCH;30/12/1899 19:31:00;30/12/1899 20:29:00;TRANSITÁVEL;IP
08/02/13;ABAUNA, R.;TANCREDO NEVES, AV. PRES.;C/B;30/12/1899 17:46:00;30/12/1899 18:56:00;INTRANSITÁVEL;IP
26/01/09;ABAUNA, R.;TANCREDO NEVES, AV. PRES.;ÚNICO;30/12/1899 18:13:00;30/12/1899 19:01:00;TRANSITÁVEL;IP
25/07/07;ABEGOARIA, R.;ALTURA DO N. 575;C/B;30/12/1899 15:15:00;;TRANSITÁVEL;LA
28/09/10;ABEGOARIA, R.;CIPRIANO JUCA, R.;C/B;30/12/1899 06:52:00;;TRANSITÁVEL;PI
11/04/12;ABEGOARIA, R.;HEITOR PENTEADO, R.;AMBOS;30/12/1899 16:12:00;30/12/1899 17:39:00;TRANSITÁVEL;PI
23/02/09;ABEGOARIA, R.;JOÃO MOURA, R,;AMBOS;30/12/1899 16:01:00;30/12/1899 19:12:00;TRANSITÁVEL;LA
22/12/10;ABEGOARIA, R.;JOÃO MOURA, R.;AMBOS;30/12/1899 15:55:00;30/12/1899 16:36:00;TRANSITÁVEL;LA
19/01/12;ABEGOARIA, R.;JOÃO MOURA, R.;AMBOS;30/12/1899 20:57:00;30/12/1899 22:47:00;TRANSITÁVEL;LA
10/01/11;ABEGOARIA, R.;OLIVEIRA ALVARES, PÇ. GAL.;ÚNICO;30/12/1899 23:00:00;30/12/1899 23:43:00;INTRANSITÁVEL;LA
13/03/08;ABEL FERREIRA, AV. VER.;ANALIA FRANCO, R.;B/C;30/12/1899 15:00:00;30/12/1899 15:52:00;TRANSITÁVEL;MO
24/07/09;ABILIO SOARES, R.;CUBATÃO, R.;ÚNICO;30/12/1899 09:38:00;30/12/1899 17:15:00;TRANSITÁVEL;VM
12/03/14;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;S PAULO/SANTOS;30/12/1899 15:59:00;30/12/1899 16:55:00;INTRANSITÁVEL;VM
15/12/11;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;SANTOS/SP;30/12/1899 21:16:00;30/12/1899 04:43:00;INTRANSITÁVEL;IP
21/01/11;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;SP/SANTOS;30/12/1899 15:08:00;30/12/1899 15:40:00;TRANSITÁVEL;IP
21/01/10;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;AMBOS;30/12/1899 01:20:00;30/12/1899 03:34:00;TRANSITÁVEL;IP
11/04/12;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;AMBOS;30/12/1899 16:11:00;30/12/1899 17:28:00;INTRANSITÁVEL;IP
24/12/08;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN.;AMBOS;30/12/1899 21:05:00;30/12/1899 21:39:00;TRANSITÁVEL;IP
18/03/07;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN. - ACESSO;SP/SANTOS;30/12/1899 08:26:00;30/12/1899 12:06:00;TRANSITÁVEL;IP
27/05/09;ABRAÃO DE MORAIS, AV. PROF.;ALIOMAR BALEEIRO, VD. MIN. - ACESSO;SANTOS/SP;30/12/1899 06:21:00;30/12/1899 08:35:00;TRANSITÁVEL;IP
24/02/08;ABRAÃO DE MORAIS, AV. PROF.;ALTURA DO N. 1103;SP/SANTOS;30/12/1899 14:44:00;30/12/1899 15:48:00;TRANSITÁVEL;VM
07/01/07;ABRAÃO DE MORAIS, AV. PROF.;ALTURA DO N. 1218;ÚNICO;30/12/1899 18:30:00;30/12/1899 21:20:00;TRANSITÁVEL;IP
19/01/12;ABRAÃO DE MORAIS, AV. PROF.;ALTURA DO N. 900;SANTOS/SP;30/12/1899 21:02:00;30/12/1899 21:58:00;INTRANSITÁVEL;IP
