sigla,siglaSP,subprefeitura
AD,SPAD,CIDADE ADEMAR
AF,SPAF,ARICANDUVA-FORMOSA-CARRAO
BT,SPBT,BUTANTA
CL,SPCL,CAMPO LIMPO
CS,SPCS,CAPELA DO SOCORRO
CT,SPCT,CIDADE TIRADENTES
CV,SPCV,CASA VERDE-CACHOEIRINHA
EM,SPEM,ERMELINO MATARAZZO
FO,SPFO,FREGUESIA-BRASILANDIA
GU,SPGU,GUAIANASES
IP,SPIP,IPIRANGA
IQ,SPIQ,ITAQUERA
IT,SPIT,ITAIM PAULISTA
JA,SPJA,JABAQUARA
JT,SPJT,JACANA-TREMEMBE
LA,SPLA,LAPA
MB,SPMB,M'BOI MIRIM
MG,SPMG,VILA MARIA-VILA GUILHERME
MO,SPMO,MOOCA
MP,SPMP,SAO MIGUEL
PA,SPPA,PARELHEIROS
PE,SPPE,PENHA
PI,SPPI,PINHEIROS
PJ,SPPJ,PIRITUBA-JARAGUA
PR,SPPR,PERUS
SA,SPSA,SANTO AMARO
SB,SPSB,SAPOPEMBA
SE,SPSE,SE
SM,SPSM,SAO MATEUS
ST,SPST,SANTANA-TUCURUVI
VM,SPVM,VILA MARIANA
VP,SPVP,VILA PRUDENTE
